RecordID,Brainwave,TP9,AF7,AF8,TP10
295,Alpha,0.7371003,-0.07732675,0.04619143,0.40174988
296,Beta,0.39489168,-0.04296034,0.40675575,0.5665532
297,Delta,1.3956935,1.3897784,0.33971676,0.73774594
298,Theta,1.0300685,0.24174626,0.09553431,0.31383893
299,Gamma,-0.3692707,-0.47835955,-0.31123206,0.011118603
300,Alpha,0.7371003,-0.07732675,0.04619143,0.40174988
301,Beta,0.39489168,-0.04296034,0.40675575,0.5665532
302,Delta,1.3956935,1.3897784,0.33971676,0.73774594
303,Theta,1.0300685,0.24174626,0.09553431,0.31383893
304,Gamma,-0.3692707,-0.47835955,-0.31123206,0.011118603
305,Alpha,0.7371003,-0.07732675,0.04619143,0.40174988
306,Beta,0.39489168,-0.04296034,0.40675575,0.5665532
307,Delta,1.3956935,1.3897784,0.33971676,0.73774594
308,Theta,1.0300685,0.24174626,0.09553431,0.31383893
309,Gamma,-0.3692707,-0.47835955,-0.31123206,0.011118603
310,Alpha,0.7371003,-0.07732675,0.04619143,0.40174988
311,Beta,0.39489168,-0.04296034,0.40675575,0.5665532
312,Delta,1.3956935,1.3897784,0.33971676,0.73774594
313,Theta,1.0300685,0.24174626,0.09553431,0.31383893
314,Gamma,-0.3692707,-0.47835955,-0.31123206,0.011118603
315,Alpha,0.7371003,-0.07732675,0.04619143,0.40174988
316,Beta,0.39489168,-0.04296034,0.40675575,0.5665532
317,Delta,1.3956935,1.3897784,0.33971676,0.73774594
318,Theta,1.0300685,0.24174626,0.09553431,0.31383893
319,Gamma,-0.3692707,-0.47835955,-0.31123206,0.011118603
320,Alpha,0.7371003,-0.07732675,0.04619143,0.40174988
321,Beta,0.39489168,-0.04296034,0.40675575,0.5665532
322,Delta,1.3956935,1.3897784,0.33971676,0.73774594
323,Theta,1.0300685,0.24174626,0.09553431,0.31383893
324,Gamma,-0.3692707,-0.47835955,-0.31123206,0.011118603
325,Alpha,0.7371003,-0.07732675,0.04619143,0.40174988
326,Beta,0.39489168,-0.04296034,0.40675575,0.5665532
327,Delta,1.3956935,1.3897784,0.33971676,0.73774594
328,Theta,1.0300685,0.24174626,0.09553431,0.31383893
329,Gamma,-0.3692707,-0.47835955,-0.31123206,0.011118603
330,Alpha,0.7371003,-0.07732675,0.04619143,0.40174988
331,Beta,0.39489168,-0.04296034,0.40675575,0.5665532
332,Delta,1.3956935,1.3897784,0.33971676,0.73774594
333,Theta,1.0300685,0.24174626,0.09553431,0.31383893
334,Gamma,-0.3692707,-0.47835955,-0.31123206,0.011118603
335,Alpha,0.7371003,-0.07732675,0.04619143,0.40174988
336,Beta,0.39489168,-0.04296034,0.40675575,0.5665532
337,Delta,1.3956935,1.3897784,0.33971676,0.73774594
338,Theta,1.0300685,0.24174626,0.09553431,0.31383893
339,Gamma,-0.3692707,-0.47835955,-0.31123206,0.011118603
340,Alpha,0.7371003,-0.07732675,0.04619143,0.40174988
341,Beta,0.39489168,-0.04296034,0.40675575,0.5665532
342,Delta,1.3956935,1.3897784,0.33971676,0.73774594
343,Theta,1.0300685,0.24174626,0.09553431,0.31383893
344,Gamma,-0.3692707,-0.47835955,-0.31123206,0.011118603
345,Alpha,0.7371003,-0.07732675,0.04619143,0.40174988
346,Beta,0.39489168,-0.04296034,0.40675575,0.5665532
347,Delta,1.3956935,1.3897784,0.33971676,0.73774594
348,Theta,1.0300685,0.24174626,0.09553431,0.31383893
349,Gamma,-0.3692707,-0.47835955,-0.31123206,0.011118603
350,Alpha,0.7371003,-0.07732675,0.04619143,0.40174988
351,Beta,0.39489168,-0.04296034,0.40675575,0.5665532
352,Delta,1.3956935,1.3897784,0.33971676,0.73774594
353,Theta,1.0300685,0.24174626,0.09553431,0.31383893
354,Gamma,-0.3692707,-0.47835955,-0.31123206,0.011118603
355,Alpha,0.7371003,-0.07732675,0.04619143,0.40174988
356,Beta,0.39489168,-0.04296034,0.40675575,0.5665532
357,Delta,1.3956935,1.3897784,0.33971676,0.73774594
358,Theta,1.0300685,0.24174626,0.09553431,0.31383893
359,Gamma,-0.3692707,-0.47835955,-0.31123206,0.011118603
360,Alpha,0.7371003,-0.07732675,0.04619143,0.40174988
361,Beta,0.39489168,-0.04296034,0.40675575,0.5665532
362,Delta,1.3956935,1.3897784,0.33971676,0.73774594
363,Theta,1.0300685,0.24174626,0.09553431,0.31383893
364,Gamma,-0.3692707,-0.47835955,-0.31123206,0.011118603
365,Alpha,0.7371003,-0.07732675,0.04619143,0.40174988
366,Beta,0.39489168,-0.04296034,0.40675575,0.5665532
367,Delta,1.3956935,1.3897784,0.33971676,0.73774594
368,Theta,1.0300685,0.24174626,0.09553431,0.31383893
369,Gamma,-0.3692707,-0.47835955,-0.31123206,0.011118603
370,Alpha,0.7371003,-0.07732675,0.04619143,0.40174988
371,Beta,0.39489168,-0.04296034,0.40675575,0.5665532
372,Delta,1.3956935,1.3897784,0.33971676,0.73774594
373,Theta,1.0300685,0.24174626,0.09553431,0.31383893
374,Gamma,-0.3692707,-0.47835955,-0.31123206,0.011118603
375,Alpha,0.7371003,-0.07732675,0.04619143,0.40174988
376,Beta,0.39489168,-0.04296034,0.40675575,0.5665532
377,Delta,1.3956935,1.3897784,0.33971676,0.73774594
378,Theta,1.0300685,0.24174626,0.09553431,0.31383893
379,Gamma,-0.3692707,-0.47835955,-0.31123206,0.011118603
380,Alpha,0.7371003,-0.07732675,0.04619143,0.40174988
381,Beta,0.39489168,-0.04296034,0.40675575,0.5665532
382,Delta,1.3956935,1.3897784,0.33971676,0.73774594
383,Theta,1.0300685,0.24174626,0.09553431,0.31383893
384,Gamma,-0.3692707,-0.47835955,-0.31123206,0.011118603
385,Alpha,0.7371003,-0.07732675,0.04619143,0.40174988
386,Beta,0.39489168,-0.04296034,0.40675575,0.5665532
387,Delta,1.3956935,1.3897784,0.33971676,0.73774594
388,Theta,1.0300685,0.24174626,0.09553431,0.31383893
389,Gamma,-0.3692707,-0.47835955,-0.31123206,0.011118603
390,Alpha,0.7371003,-0.07732675,0.04619143,0.40174988
391,Beta,0.39489168,-0.04296034,0.40675575,0.5665532
392,Delta,1.3956935,1.3897784,0.33971676,0.73774594
393,Theta,1.0300685,0.24174626,0.09553431,0.31383893
394,Gamma,-0.3692707,-0.47835955,-0.31123206,0.011118603
395,Alpha,0.7371003,-0.07732675,0.04619143,0.40174988
396,Beta,0.39489168,-0.04296034,0.40675575,0.5665532
397,Delta,1.3956935,1.3897784,0.33971676,0.73774594
398,Theta,1.0300685,0.24174626,0.09553431,0.31383893
399,Gamma,-0.3692707,-0.47835955,-0.31123206,0.011118603
400,Alpha,0.7371003,-0.07732675,0.04619143,0.40174988
401,Beta,0.39489168,-0.04296034,0.40675575,0.5665532
402,Delta,1.3956935,1.3897784,0.33971676,0.73774594
403,Theta,1.0300685,0.24174626,0.09553431,0.31383893
404,Gamma,-0.3692707,-0.47835955,-0.31123206,0.011118603
405,Alpha,0.7371003,-0.07732675,0.04619143,0.40174988
406,Beta,0.39489168,-0.04296034,0.40675575,0.5665532
407,Delta,1.3956935,1.3897784,0.33971676,0.73774594
408,Theta,1.0300685,0.24174626,0.09553431,0.31383893
409,Gamma,-0.3692707,-0.47835955,-0.31123206,0.011118603
410,Alpha,0.7371003,-0.07732675,0.04619143,0.40174988
411,Beta,0.39489168,-0.04296034,0.40675575,0.5665532
412,Delta,1.3956935,1.3897784,0.33971676,0.73774594
413,Theta,1.0300685,0.24174626,0.09553431,0.31383893
414,Gamma,-0.3692707,-0.47835955,-0.31123206,0.011118603
415,Alpha,0.7371003,-0.07732675,0.04619143,0.40174988
416,Beta,0.39489168,-0.04296034,0.40675575,0.5665532
417,Delta,1.3956935,1.3897784,0.33971676,0.73774594
418,Theta,1.0300685,0.24174626,0.09553431,0.31383893
419,Gamma,-0.3692707,-0.47835955,-0.31123206,0.011118603
420,Alpha,0.7371003,-0.07732675,0.04619143,0.40174988
421,Beta,0.39489168,-0.04296034,0.40675575,0.5665532
422,Delta,1.3956935,1.3897784,0.33971676,0.73774594
423,Theta,1.0300685,0.24174626,0.09553431,0.31383893
424,Gamma,-0.3692707,-0.47835955,-0.31123206,0.011118603
425,Alpha,0.7371003,-0.07732675,0.04619143,0.40174988
426,Beta,0.39489168,-0.04296034,0.40675575,0.5665532
427,Delta,1.3956935,1.3897784,0.33971676,0.73774594
428,Theta,1.0300685,0.24174626,0.09553431,0.31383893
429,Gamma,-0.3692707,-0.47835955,-0.31123206,0.011118603
430,Alpha,0.7371003,-0.07732675,0.04619143,0.40174988
431,Beta,0.39489168,-0.04296034,0.40675575,0.5665532
432,Delta,1.3956935,1.3897784,0.33971676,0.73774594
433,Theta,1.0300685,0.24174626,0.09553431,0.31383893
434,Gamma,-0.3692707,-0.47835955,-0.31123206,0.011118603
435,Alpha,0.7371003,-0.07732675,0.04619143,0.40174988
436,Beta,0.39489168,-0.04296034,0.40675575,0.5665532
437,Delta,1.3956935,1.3897784,0.33971676,0.73774594
438,Theta,1.0300685,0.24174626,0.09553431,0.31383893
439,Gamma,-0.3692707,-0.47835955,-0.31123206,0.011118603
440,Alpha,0.7371003,-0.07732675,0.04619143,0.40174988
441,Beta,0.39489168,-0.04296034,0.40675575,0.5665532
